data_type,original_value,replacement_value
AHV_NUMBER,756.6035.4853.88,756.1415.1669.01
AHV_NUMBER,756.6415.8746.34,756.3427.1136.83
AHV_NUMBER,756.6488.7074.33,756.5250.8942.41
AHV_NUMBER,756.6908.4651.41,756.5828.7002.95
AHV_NUMBER,756.6948.9759.76,756.5918.0136.56
AHV_NUMBER,756.7028.0730.63,756.6157.4355.68
AHV_NUMBER,756.7064.6543.70,756.5742.8743.31
AHV_NUMBER,756.7092.1982.73,756.8959.7494.78
AHV_NUMBER,756.7175.8249.14,756.5010.0589.44
AHV_NUMBER,756.7624.8378.85,756.6385.4926.78
AHV_NUMBER,756.7646.5259.06,756.9049.6189.26
AHV_NUMBER,756.7729.5688.82,756.1509.7362.01
AHV_NUMBER,756.7820.5205.50,756.0750.2041.63
AHV_NUMBER,756.7834.8729.97,756.0046.0700.38
AHV_NUMBER,756.7987.0959.22,756.8957.0829.11
AHV_NUMBER,756.8187.1446.87,756.4809.9357.25
AHV_NUMBER,756.8199.4168.19,756.9709.7689.61
AHV_NUMBER,756.8364.9093.75,756.8517.7212.50
AHV_NUMBER,756.8378.3145.23,756.7084.1984.03
AHV_NUMBER,756.8651.4012.16,756.1159.5898.37
AHV_NUMBER,756.8704.2752.21,756.2475.3911.04
AHV_NUMBER,756.8803.8627.35,756.6801.8006.81
AHV_NUMBER,756.8879.8957.05,756.6262.9604.05
AHV_NUMBER,756.8982.9263.10,756.3705.2971.11
AHV_NUMBER,756.9381.0245.15,756.8900.8337.82
AHV_NUMBER,756.9444.0285.73,756.3942.2096.94
AHV_NUMBER,756.9676.6505.80,756.8253.5874.31
AHV_NUMBER,756.9919.4666.95,756.6426.8638.32
CREDIT_CARD,2223 0031 2200 3222,3056 9300 0902 0004
CREDIT_CARD,3714 496353 98431,4000 0075 6000 0009
CREDIT_CARD,3782 822463 10005,4000 0004 0000 0008
CREDIT_CARD,4012 8888 8888 1881,4000 0000 0000 0077
CREDIT_CARD,4111 1111 1111 1111,4000 0025 0000 3155
CREDIT_CARD,4242 4242 4242 4242,6200 0000 0000 0005
CREDIT_CARD,5105 1051 0510 5100,4000 0000 0000 3220
CREDIT_CARD,5200 8282 8282 8210,3566 0020 2036 0505
CREDIT_CARD,6011 0009 9013 9424,4000 0027 6000 0016
CREDIT_CARD,6011 1111 1111 1117,4000 0025 0000 0003
DATE_OF_BIRTH,01.03.1958,11.08.1957
DATE_OF_BIRTH,01.04.1997,15.11.1997
DATE_OF_BIRTH,03.02.1944,19.03.1944
DATE_OF_BIRTH,03.05.1960,23.06.1960
DATE_OF_BIRTH,04.03.1994,19.05.1994
DATE_OF_BIRTH,04.04.1970,06.06.1969
DATE_OF_BIRTH,04.08.1938,02.12.1937
DATE_OF_BIRTH,04.08.1959,04.02.1960
DATE_OF_BIRTH,05.01.1966,11.10.1966
DATE_OF_BIRTH,05.02.1949,12.10.1948
DATE_OF_BIRTH,05.04.1955,29.06.1955
DATE_OF_BIRTH,05.08.2002,14.06.2003
DATE_OF_BIRTH,06.05.1979,21.11.1979
DATE_OF_BIRTH,06.05.1988,06.03.1988
DATE_OF_BIRTH,07.02.1996,20.08.1995
DATE_OF_BIRTH,07.05.1960,01.07.1959
DATE_OF_BIRTH,08.02.1990,17.07.1989
DATE_OF_BIRTH,08.06.1978,17.01.1979
DATE_OF_BIRTH,08.11.1977,02.06.1977
DATE_OF_BIRTH,08.12.1943,09.08.1944
DATE_OF_BIRTH,09.01.1977,30.09.1976
DATE_OF_BIRTH,09.03.1993,08.09.1993
DATE_OF_BIRTH,09.05.1950,23.01.1951
DATE_OF_BIRTH,09.07.1941,30.03.1941
DATE_OF_BIRTH,09.08.1985,03.03.1985
DATE_OF_BIRTH,09.09.2004,18.06.2004
DATE_OF_BIRTH,1 mars 1958,11 août 1957
DATE_OF_BIRTH,1. April 1997,15. November 1997
DATE_OF_BIRTH,10 décembre 1984,13 octobre 1984
DATE_OF_BIRTH,10. August 1958,12. Oktober 1958
DATE_OF_BIRTH,10.08.1958,12.10.1958
DATE_OF_BIRTH,10.12.1984,13.10.1984
DATE_OF_BIRTH,11. Mai 1961,21. Dezember 1961
DATE_OF_BIRTH,11.05.1961,21.12.1961
DATE_OF_BIRTH,12 juillet 1980,14 avril 1980
DATE_OF_BIRTH,12 octobre 2002,6 mai 2003
DATE_OF_BIRTH,12. Januar 1984,3. Oktober 1984
DATE_OF_BIRTH,12.01.1984,03.10.1984
DATE_OF_BIRTH,12.07.1980,14.04.1980
DATE_OF_BIRTH,12.10.2002,06.05.2003
DATE_OF_BIRTH,13 janvier 1969,8 août 1969
DATE_OF_BIRTH,13 mai 1992,26 octobre 1992
DATE_OF_BIRTH,13.01.1969,08.08.1969
DATE_OF_BIRTH,13.05.1992,26.10.1992
DATE_OF_BIRTH,14. März 1962,5. November 1962
DATE_OF_BIRTH,14.03.1962,05.11.1962
DATE_OF_BIRTH,15. Mai 2000,24. Oktober 2000
DATE_OF_BIRTH,15.05.2000,24.10.2000
DATE_OF_BIRTH,16 avril 1967,5 février 1967
DATE_OF_BIRTH,16 décembre 1963,10 mai 1964
DATE_OF_BIRTH,16 février 1993,14 décembre 1992
DATE_OF_BIRTH,16.02.1993,14.12.1992
DATE_OF_BIRTH,16.04.1967,05.02.1967
DATE_OF_BIRTH,16.12.1963,10.05.1964
DATE_OF_BIRTH,17 août 1959,8 mai 1959
DATE_OF_BIRTH,17 décembre 1969,17 octobre 1970
DATE_OF_BIRTH,17 mai 1966,8 janvier 1967
DATE_OF_BIRTH,17 septembre 1944,20 décembre 1944
DATE_OF_BIRTH,17.05.1966,08.01.1967
DATE_OF_BIRTH,17.08.1959,08.05.1959
DATE_OF_BIRTH,17.09.1944,20.12.1944
DATE_OF_BIRTH,17.12.1969,17.10.1970
DATE_OF_BIRTH,18 décembre 1998,6 novembre 1998
DATE_OF_BIRTH,18 octobre 1952,6 mars 1953
DATE_OF_BIRTH,18.10.1952,06.03.1953
DATE_OF_BIRTH,18.12.1998,06.11.1998
DATE_OF_BIRTH,19 décembre 1966,28 juillet 1966
DATE_OF_BIRTH,19 février 2004,29 octobre 2004
DATE_OF_BIRTH,19 mai 2000,16 janvier 2001
DATE_OF_BIRTH,19 mars 1938,10 décembre 1937
DATE_OF_BIRTH,19 novembre 1952,16 avril 1953
DATE_OF_BIRTH,19. Oktober 1941,21. Mai 1941
DATE_OF_BIRTH,19.02.2004,29.10.2004
DATE_OF_BIRTH,19.03.1938,10.12.1937
DATE_OF_BIRTH,19.05.2000,16.01.2001
DATE_OF_BIRTH,19.10.1941,21.05.1941
DATE_OF_BIRTH,19.11.1952,16.04.1953
DATE_OF_BIRTH,19.12.1966,28.07.1966
DATE_OF_BIRTH,1941-07-09,1941-03-30
DATE_OF_BIRTH,1943-12-08,1944-08-09
DATE_OF_BIRTH,1944-02-03,1944-03-19
DATE_OF_BIRTH,1947-11-27,1947-03-27
DATE_OF_BIRTH,1949-02-05,1948-10-12
DATE_OF_BIRTH,1952-11-19,1953-04-16
DATE_OF_BIRTH,1961-05-11,1961-12-21
DATE_OF_BIRTH,1966-01-05,1966-10-11
DATE_OF_BIRTH,1966-05-17,1967-01-08
DATE_OF_BIRTH,1966-12-19,1966-07-28
DATE_OF_BIRTH,1968-08-21,1968-10-19
DATE_OF_BIRTH,1970-04-04,1969-06-06
DATE_OF_BIRTH,1977-11-08,1977-06-02
DATE_OF_BIRTH,1978-06-08,1979-01-17
DATE_OF_BIRTH,1985-08-09,1985-03-03
DATE_OF_BIRTH,1993-03-09,1993-09-08
DATE_OF_BIRTH,1994-03-28,1993-09-28
DATE_OF_BIRTH,1997-04-01,1997-11-15
DATE_OF_BIRTH,1998-12-18,1998-11-06
DATE_OF_BIRTH,20 mai 2001,19 octobre 2001
DATE_OF_BIRTH,20.05.2001,19.10.2001
DATE_OF_BIRTH,2002-08-05,2003-06-14
DATE_OF_BIRTH,21 août 1968,19 octobre 1968
DATE_OF_BIRTH,21.08.1968,19.10.1968
DATE_OF_BIRTH,23. Oktober 1941,19. Dezember 1940
DATE_OF_BIRTH,23.10.1941,19.12.1940
DATE_OF_BIRTH,24 février 1942,14 juillet 1942
DATE_OF_BIRTH,24 juin 1980,11 janvier 1980
DATE_OF_BIRTH,24 octobre 1992,17 juillet 1993
DATE_OF_BIRTH,24.02.1942,14.07.1942
DATE_OF_BIRTH,24.06.1980,11.01.1980
DATE_OF_BIRTH,24.10.1992,17.07.1993
DATE_OF_BIRTH,25. Januar 1998,14. April 1997
DATE_OF_BIRTH,25.01.1998,14.04.1997
DATE_OF_BIRTH,26 janvier 1963,14 décembre 1962
DATE_OF_BIRTH,26.01.1963,14.12.1962
DATE_OF_BIRTH,27 octobre 1942,13 juillet 1942
DATE_OF_BIRTH,27. Mai 1994,14. Oktober 1993
DATE_OF_BIRTH,27. November 1947,27. März 1947
DATE_OF_BIRTH,27.05.1994,14.10.1993
DATE_OF_BIRTH,27.10.1942,13.07.1942
DATE_OF_BIRTH,27.11.1947,27.03.1947
DATE_OF_BIRTH,28 mars 1994,28 septembre 1993
DATE_OF_BIRTH,28. Februar 1976,18. April 1976
DATE_OF_BIRTH,28.02.1976,18.04.1976
DATE_OF_BIRTH,28.03.1994,28.09.1993
DATE_OF_BIRTH,3. Februar 1944,19. März 1944
DATE_OF_BIRTH,3. Mai 1960,23. Juni 1960
DATE_OF_BIRTH,4 août 1959,4 février 1960
DATE_OF_BIRTH,4 avril 1970,6 juin 1969
DATE_OF_BIRTH,4 mars 1994,19 mai 1994
DATE_OF_BIRTH,4. August 1938,2. Dezember 1937
DATE_OF_BIRTH,5 août 2002,14 juin 2003
DATE_OF_BIRTH,5 février 1949,12 octobre 1948
DATE_OF_BIRTH,5. April 1955,29. Juni 1955
DATE_OF_BIRTH,5. Januar 1966,11. Oktober 1966
DATE_OF_BIRTH,6 mai 1979,21 novembre 1979
DATE_OF_BIRTH,6 mai 1988,6 mars 1988
DATE_OF_BIRTH,7 février 1996,20 août 1995
DATE_OF_BIRTH,7 mai 1960,1 juillet 1959
DATE_OF_BIRTH,8 décembre 1943,9 août 1944
DATE_OF_BIRTH,8 février 1990,17 juillet 1989
DATE_OF_BIRTH,8 juin 1978,17 janvier 1979
DATE_OF_BIRTH,8. November 1977,2. Juni 1977
DATE_OF_BIRTH,9 mai 1950,23 janvier 1951
DATE_OF_BIRTH,9 mars 1993,8 septembre 1993
DATE_OF_BIRTH,9 septembre 2004,18 juin 2004
DATE_OF_BIRTH,9. August 1985,3. März 1985
DATE_OF_BIRTH,9. Januar 1977,30. September 1976
DATE_OF_BIRTH,9. Juli 1941,30. März 1941
EMAIL,amelie.pasquier@example.org,anouk.gobet@example.org
EMAIL,andrea.pittet@example.org,noemie.dorthe@example.org
EMAIL,anja.wicht@example.com,ines.vial@exemple.fr
EMAIL,anne.sophie.riedo@example.com,dalia.ulrich@example.org
EMAIL,aurelie.rossi@example.ch,sibylle.buhler@example.org
EMAIL,barbara.blanc@example.com,livia.ramseier@exemple.fr
EMAIL,beatrice.anne.vonlanthen@example.ch,leonie.dahler@example.org
EMAIL,benoit.schaller@example.org,joris.pochon@example.com
EMAIL,bernhard.maillard@example.com,hippolyte.lauper@exemple.fr
EMAIL,bettina.fischer@example.org,eliane.schmutz@exemple.fr
EMAIL,camille.widmer@example.org,bluette.andrey@example.ch
EMAIL,cedric.carrel@example.org,ivan.roulin@example.org
EMAIL,celine.burri@exemple.fr,mirjam.monney@exemple.fr
EMAIL,charlotte.hess@example.org,zoe.villoz@example.ch
EMAIL,chloe.kohler@example.org,oceane.tinguely@example.com
EMAIL,christelle.bissig@exemple.fr,klara.lehmann@example.ch
EMAIL,christian.rochat@example.ch,kaspar.wyss@example.com
EMAIL,christoph.christen@exemple.fr,fabrice.balmer@example.org
EMAIL,claudia.ryser@example.com,tamara.grangier@example.com
EMAIL,daniel.ferrari@exemple.fr,quentin.portmann@example.ch
EMAIL,david.dietrich@example.ch,elias.ropraz@example.com
EMAIL,denise.vuilleumier@exemple.fr,elodie.oberholzer@example.ch
EMAIL,doris.zimmermann@exemple.fr,berthe.kaser@example.ch
EMAIL,eduard.weber@exemple.fr,franz.keller@example.com
EMAIL,elisabeth.kaiser@example.ch,diane.jeanneret@example.ch
EMAIL,emilie.stucki@example.org,nadia.mauron@example.com
EMAIL,erwin.meyer@example.org,sacha.deillon@exemple.fr
EMAIL,esther.iten@example.ch,lea.vogel@example.com
EMAIL,fabienne.fankhauser@example.ch,ysaline.hayoz@exemple.fr
EMAIL,gabrielle.nicolet@example.com,gisele.schouwey@example.ch
EMAIL,hansruedi.troillet@example.ch,jerome.overney@example.org
EMAIL,heinz.mullerrey@exemple.fr,nino.cattin@example.org
EMAIL,jacqueline.locher@example.ch,priska.luthi@example.ch
EMAIL,jean.marc.leuenberger@example.org,vincent.bise@example.ch
EMAIL,jeremie.mercier@exemple.fr,felix.gremaud@example.ch
EMAIL,judith.baumann@example.org,prune.feuz@example.org
EMAIL,julien.oppliger@exemple.fr,paulin.fragniere@exemple.fr
EMAIL,katrin.bianchi@example.com,maude.uhlmann@example.org
EMAIL,kurt.michel@example.org,yves.bapst@example.com
EMAIL,laurence.frei@example.ch,viviane.tanner@example.com
EMAIL,lena.kessler@example.org,rahel.jenni@example.ch
EMAIL,lionel.crausaz@example.ch,marcel.rime@example.ch
EMAIL,luca.gerber@exemple.fr,maxime.gachet@example.org
EMAIL,maelle.martin@example.org,helene.pfister@exemple.fr
EMAIL,manuel.bachmann@example.org,remy.kunz@example.ch
EMAIL,manuela.muller@exemple.fr,fleur.sallin@example.ch
EMAIL,markus.gillieron@example.com,adrien.gendre@exemple.fr
EMAIL,mathieu.reybellet@exemple.fr,edgar.gasser@example.ch
EMAIL,melanie.sieber@exemple.fr,thais.grandjean@exemple.fr
EMAIL,michael.dupont@exemple.fr,dorian.bongard@exemple.fr
EMAIL,monika.thurler@example.com,romane.yerly@example.com
EMAIL,nadine.hafliger@example.com,flavia.kolly@example.ch
EMAIL,nathalie.rausis@example.com,margaux.erni@example.com
EMAIL,nathan.ammann@example.org,zacharie.sudan@example.com
EMAIL,nicolas.berthoud@example.ch,vital.niederhauser@example.ch
EMAIL,pascal.andre.bertschy@exemple.fr,cyrille.aeby@example.com
EMAIL,patricia.huber@exemple.fr,gwendoline.wider@exemple.fr
EMAIL,philippe.zaugg@example.com,loris.thalmann@example.ch
EMAIL,pierre.alain.waeber@example.ch,didier.raemy@example.com
EMAIL,rachel.lambert@example.org,pauline.cotting@example.com
EMAIL,raphael.louis.meier@example.ch,oscar.wenger@example.ch
EMAIL,reto.dasilva@exemple.fr,colin.fasel@example.ch
EMAIL,rolf.bosshard@example.ch,anton.hurlimann@exemple.fr
EMAIL,ruth.chevalley@example.ch,ninon.egger@example.com
EMAIL,sebastien.peter@example.com,emil.koller@exemple.fr
EMAIL,silvia.steiner@exemple.fr,selina.brugger@example.ch
EMAIL,simon.fluckiger@example.org,baptiste.chassot@exemple.fr
EMAIL,stefan.schneider@example.ch,theo.cuche@exemple.fr
EMAIL,stephane.wyler@example.org,corentin.mettraux@example.ch
EMAIL,sven.kaufmann@example.ch,hugo.aebischer@example.ch
EMAIL,tatiana.genoud@example.org,heloise.rotzetter@example.ch
EMAIL,thierry.pellet@example.com,timo.zbinden@example.com
EMAIL,thomas.dessibourg@example.ch,yoann.nyffeler@example.org
EMAIL,tristan.gauthier@example.org,bruno.repond@example.org
EMAIL,valentin.girard@example.com,gilles.longchamp@example.ch
EMAIL,valerie.clement@exemple.fr,zelie.nussbaumer@example.com
FIRST_NAME,Adrian,Kilian
FIRST_NAME,Amélie,Anouk
FIRST_NAME,Andrea,Noémie
FIRST_NAME,Anja,Ines
FIRST_NAME,Anne-Sophie,Dalia
FIRST_NAME,Aurélie,Sibylle
FIRST_NAME,Barbara,Livia
FIRST_NAME,Beat,Ulrich
FIRST_NAME,Benoît,Joris
FIRST_NAME,Bernhard,Hippolyte
FIRST_NAME,Bettina,Eliane
FIRST_NAME,Béatrice-Anne,Léonie
FIRST_NAME,Camille,Bluette
FIRST_NAME,Charlotte,Zoé
FIRST_NAME,Chloé,Océane
FIRST_NAME,Christelle,Klara
FIRST_NAME,Christian,Kaspar
FIRST_NAME,Christoph,Fabrice
FIRST_NAME,Claude,Aurèle
FIRST_NAME,Claudia,Tamara
FIRST_NAME,Corinne,Ulrike
FIRST_NAME,Cédric,Ivan
FIRST_NAME,Céline,Mirjam
FIRST_NAME,Daniel,Quentin
FIRST_NAME,David,Elias
FIRST_NAME,Denise,Elodie
FIRST_NAME,Dominik,Lorenz
FIRST_NAME,Doris,Berthe
FIRST_NAME,Eduard,Franz
FIRST_NAME,Elisabeth,Diane
FIRST_NAME,Erwin,Sacha
FIRST_NAME,Esther,Léa
FIRST_NAME,Fabienne,Ysaline
FIRST_NAME,Frédéric,Ignace
FIRST_NAME,Gabrielle,Gisèle
FIRST_NAME,Grégoire,Hervé
FIRST_NAME,Hansruedi,Jérôme
FIRST_NAME,Heidi,Iris
FIRST_NAME,Heinz,Nino
FIRST_NAME,Isabelle,Bérénice
FIRST_NAME,Jacqueline,Priska
FIRST_NAME,Jean-Marc,Vincent
FIRST_NAME,Jonas,Célestin
FIRST_NAME,Judith,Prune
FIRST_NAME,Julien,Paulin
FIRST_NAME,Jérémie,Félix
FIRST_NAME,Katrin,Maude
FIRST_NAME,Kevin,Basile
FIRST_NAME,Kurt,Yves
FIRST_NAME,Laetitia,Tania
FIRST_NAME,Laurence,Viviane
FIRST_NAME,Lena,Rahel
FIRST_NAME,Lionel,Marcel
FIRST_NAME,Luca,Maxime
FIRST_NAME,Lukas,Ruben
FIRST_NAME,Manuel,Rémy
FIRST_NAME,Manuela,Fleur
FIRST_NAME,Markus,Adrien
FIRST_NAME,Mathieu,Edgar
FIRST_NAME,Maëlle,Hélène
FIRST_NAME,Michael,Dorian
FIRST_NAME,Monika,Romane
FIRST_NAME,Mélanie,Thaïs
FIRST_NAME,Nadine,Flavia
FIRST_NAME,Nathalie,Margaux
FIRST_NAME,Nathan,Zacharie
FIRST_NAME,Nicolas,Vital
FIRST_NAME,Pascal-André,Cyrille
FIRST_NAME,Patricia,Gwendoline
FIRST_NAME,Philippe,Loris
FIRST_NAME,Pierre-Alain,Didier
FIRST_NAME,Rachel,Pauline
FIRST_NAME,Raphaël-Louis,Oscar
FIRST_NAME,Reto,Colin
FIRST_NAME,Rolf,Anton
FIRST_NAME,Ruth,Ninon
FIRST_NAME,Sandra,Ilona
FIRST_NAME,Silvia,Selina
FIRST_NAME,Simon,Baptiste
FIRST_NAME,Stefan,Théo
FIRST_NAME,Stéphane,Corentin
FIRST_NAME,Sven,Hugo
FIRST_NAME,Sébastien,Emil
FIRST_NAME,Tatiana,Héloïse
FIRST_NAME,Thierry,Timo
FIRST_NAME,Thomas,Yoann
FIRST_NAME,Tristan,Bruno
FIRST_NAME,Valentin,Gilles
FIRST_NAME,Valérie,Zélie
FIRST_NAME,Xavier,Nils
FIRST_NAME,Yann,Thibault
FIRST_NAME,Émilie,Nadia
IBAN,AT25 8852 6452 6956 9570,AT46 9324 1039 6100 8053
IBAN,AT37 2485 7031 5304 3509,AT59 3059 2263 3647 6158
IBAN,AT52 4397 9758 2547 1013,AT82 9442 6438 2786 0345
IBAN,AT55 7433 2128 8511 4076,AT73 1357 2982 7393 6425
IBAN,AT61 7615 1984 7136 7170,AT61 6223 6680 3744 7252
IBAN,AT66 7453 8457 5904 0535,AT44 6830 7444 4143 3786
IBAN,AT73 7972 3610 8183 4436,AT82 2081 5865 7673 7172
IBAN,AT737972361081834436,AT822081586576737172
IBAN,CH05 8339 3374 1492 5754 5,CH82 8145 4497 4891 4409 8
IBAN,CH08 8436 3856 8759 1311 1,CH63 8481 9778 9695 2578 2
IBAN,CH13 8607 6602 4707 0367 3,CH15 8493 5799 2008 2888 8
IBAN,CH17 8692 5667 9989 4810 1,CH21 8062 3893 2446 5112 3
IBAN,CH18 8686 2492 9843 2473 3,CH08 8736 6043 6064 2625 9
IBAN,CH18 8898 0543 0651 6130 5,CH89 8162 3036 4631 0368 9
IBAN,CH19 8850 8688 3339 0099 7,CH44 8038 8646 9206 2399 0
IBAN,CH24 8963 9289 8498 3671 6,CH10 8052 5991 5865 3821 6
IBAN,CH25 8847 9613 3319 0436 1,CH24 8361 4682 9091 1243 8
IBAN,CH26 8271 5188 5217 7826 4,CH65 8974 4398 0135 7372 6
IBAN,CH37 8983 4764 4654 4090 4,CH24 8325 7018 1971 2174 5
IBAN,CH3789834764465440904,CH2483257018197121745
IBAN,CH42 8803 5580 4580 4018 1,CH97 8142 0484 2672 4547 2
IBAN,CH43 8365 0273 7124 3070 6,CH28 8333 1668 0694 6346 7
IBAN,CH43 8431 0472 4686 7582 1,CH52 8911 6424 9377 9525 6
IBAN,CH44 8591 1276 0049 5822 8,CH90 8670 9136 0701 8783 7
IBAN,CH45 8319 9024 3566 1970 8,CH02 8762 2723 2840 6109 6
IBAN,CH46 8963 5537 7169 9037 1,CH96 8312 0737 5657 9548 8
IBAN,CH49 8967 8632 0065 4811 0,CH43 8870 2139 2335 0599 5
IBAN,CH4989678632006548110,CH4388702139233505995
IBAN,CH52 8125 6889 0250 6740 8,CH88 8836 9800 7077 0277 6
IBAN,CH55 8109 3630 2254 2781 9,CH82 8218 6743 3950 4550 9
IBAN,CH5581093630225427819,CH8282186743395045509
IBAN,CH60 8627 4264 8215 0782 9,CH94 8152 6900 7309 2206 9
IBAN,CH60 8710 4585 4192 5296 6,CH95 8989 4406 5912 3106 6
IBAN,CH6086274264821507829,CH9481526900730922069
IBAN,CH64 8165 9978 2977 5224 1,CH07 8661 9379 1422 1612 0
IBAN,CH65 8432 6478 2222 3767 6,CH77 8193 1053 4312 8356 7
IBAN,CH70 8080 9026 2404 1415 6,CH25 8956 1218 7344 8566 5
IBAN,CH74 8712 2802 4417 2224 6,CH50 8324 5402 1337 8334 1
IBAN,CH7487122802441722246,CH5083245402133783341
IBAN,CH78 8580 9079 2571 4244 8,CH86 8447 9257 8249 5675 0
IBAN,CH83 8020 2244 7091 5259 7,CH14 8647 1856 2546 8663 0
IBAN,CH83 8132 3678 6993 1748 0,CH57 8227 8688 4290 1815 8
IBAN,CH84 8737 2419 1750 6037 3,CH57 8700 0542 8640 2359 7
IBAN,CH85 8194 8367 3370 4764 9,CH25 8116 5256 7009 8831 7
IBAN,CH86 8854 3173 8385 4117 3,CH14 8642 4840 6193 8963 9
IBAN,CH8688543173838541173,CH1486424840619389639
IBAN,CH87 8919 0245 5926 9186 7,CH56 8568 5312 9048 4591 5
IBAN,CH89 8633 4925 5279 7176 4,CH84 8471 8588 4839 6645 7
IBAN,CH90 8910 9372 8872 1594 3,CH73 8268 0789 5537 5816 1
IBAN,CH93 8797 1590 1279 6751 6,CH05 8282 9146 8828 1797 3
IBAN,CH97 8350 4616 4147 8271 5,CH65 8617 5462 6137 4505 2
IBAN,CH98 8481 2402 8117 7244 2,CH22 8007 0514 8571 5555 8
IBAN,DE14 2189 8905 2954 1541 70,DE13 1453 3288 3755 9578 95
IBAN,DE14218989052954154170,DE13145332883755957895
IBAN,DE15 2661 5067 7637 2082 17,DE81 1059 7366 9232 9649 87
IBAN,DE17 2066 2191 0363 7280 67,DE70 8153 2067 6977 4456 91
IBAN,DE21 1064 9534 4957 5632 30,DE92 2188 1581 3622 9649 82
IBAN,DE33 9393 2738 8442 2113 00,DE55 8014 8106 1869 0157 79
IBAN,DE34 6552 6005 6634 7804 99,DE93 8607 0796 7961 2601 13
IBAN,DE34655260056634780499,DE93860707967961260113
IBAN,DE35 5144 8083 3009 7425 18,DE54 6221 6880 2437 9605 67
IBAN,DE72 2382 8451 4757 1247 07,DE94 4262 3277 0984 8368 41
IBAN,DE81 8481 1566 3230 7161 08,DE90 3893 7321 6401 5305 82
IBAN,DE81848115663230716108,DE90389373216401530582
IBAN,DE89 8452 1891 6048 7995 08,DE71 9842 4074 9162 5575 24
IBAN,FR76 3768 6553 1328 5909 3139 249,FR76 3965 5584 5647 4962 6975 440
IBAN,FR76 5103 9950 9349 5253 9062 033,FR76 3441 0957 2003 0519 6070 850
IBAN,FR76 5124 2565 9371 8270 4606 860,FR76 4421 5997 0312 3650 0220 306
IBAN,FR76 6132 9546 5559 8503 1679 659,FR76 7200 7304 8647 2399 8609 850
IBAN,FR76 6405 4946 9194 9064 5783 269,FR76 8761 5982 6267 5953 1629 034
IBAN,FR76 7549 7674 6134 2071 2318 402,FR76 8877 2434 9015 3886 8140 984
IBAN,FR76 8134 6919 8903 5303 5668 948,FR76 9856 9902 1510 4355 2306 655
IBAN,FR76 9300 7217 1034 3790 4709 081,FR76 3470 9257 9794 0174 7856 631
IBAN,FR76 9590 0415 5318 5396 4739 404,FR76 2902 3723 3585 0408 4762 096
INSURANCE_CARD_NUMBER,80756 01599 01373 44018,80756 01602 14327 24037
INSURANCE_CARD_NUMBER,80756 01599 03262 44892,80756 01643 55664 51169
INSURANCE_CARD_NUMBER,80756 01599 13956 40984,80756 01688 14823 29858
INSURANCE_CARD_NUMBER,80756 01599 15421 72549,80756 01611 90747 69027
INSURANCE_CARD_NUMBER,80756 01599 17569 01605,80756 01602 29092 19495
INSURANCE_CARD_NUMBER,80756 01599 21335 02482,80756 01611 09289 27414
INSURANCE_CARD_NUMBER,80756 01599 26698 85654,80756 01602 13510 16289
INSURANCE_CARD_NUMBER,80756 01599 40207 04547,80756 01688 62473 86624
INSURANCE_CARD_NUMBER,80756 01599 55484 23594,80756 01611 09728 30488
